sr_no,close,high,low,open,tradeTime,volume,NASDAQ_Symbol
155,124.79,125.78,123.71,125.21,2018-10-26,8767029,IBM
156,119.64,123.95,118.3,119.34,2018-10-29,20450448,IBM
157,115.4,121.5,115.15,120.48,2018-10-30,21458594,IBM
158,115.43,116.5,114.09,116.49,2018-10-31,21644978,IBM
159,116.83,117,115.11,115.5,2018-11-01,13626730,IBM
160,115.67,117.75,114.5384,117.51,2018-11-02,10592681,IBM
161,120.06,120.77,116,116.1,2018-11-05,9144598,IBM
162,123.12,123.81,120.31,120.7,2018-11-06,9597392,IBM
163,124.84,125.06,122.33,123.79,2018-11-07,12382666,IBM
164,123.38,124.404,122.63,122.66,2018-11-08,10396439,IBM
165,123.54,124.57,121.96,123.61,2018-11-09,6961902,IBM
166,120.9,123.57,120.65,123.5,2018-11-12,5379113,IBM
167,120.84,122.2505,119.9,121.19,2018-11-13,4084385,IBM
168,120.2,121.93,119.77,121.11,2018-11-14,4762275,IBM
169,121.44,121.44,119.51,119.66,2018-11-15,5207973,IBM
170,121.57,121.85,120.5405,120.89,2018-11-16,4076315,IBM
171,120.31,122.18,119.77,121.63,2018-11-19,4131238,IBM
172,117.2,119.49,116.6955,118.49,2018-11-20,6233777,IBM
173,118.57,119.51,117.39,117.61,2018-11-21,5335842,IBM
174,117.19,118.3382,116.91,118.09,2018-11-23,2334730,IBM
175,119.56,120.25,118.06,118.37,2018-11-26,5011130,IBM
176,120.03,120.04,118.37,118.38,2018-11-27,4903771,IBM
177,123,123.09,120.22,121.01,2018-11-28,5104520,IBM
178,121.48,123.1208,121.4,122.44,2018-11-29,5200113,IBM
179,124.27,124.69,121.48,121.66,2018-11-30,7251590,IBM
180,125.31,126.59,124.36,125.67,2018-12-03,5843112,IBM
181,121.6,124.92,121.33,124.49,2018-12-04,6000697,IBM
182,123.91,123.91,119.301,119.72,2018-12-06,6938049,IBM
183,119.34,124.05,118.87,123.9,2018-12-07,7019616,IBM
184,121.13,121.6822,118.52,119.74,2018-12-10,6549506,IBM
185,120.89,123.81,120,123.25,2018-12-11,5043081,IBM
186,121.16,122.88,121,122.51,2018-12-12,3560790,IBM
187,120.73,121.79,120.17,121.26,2018-12-13,3993597,IBM
188,119.9,121.11,119.44,119.5,2018-12-14,4554204,IBM
189,116.1,119.78,115.07,119.07,2018-12-17,7374476,IBM
190,116.65,118.23,116.02,116.9,2018-12-18,6290186,IBM
191,116.43,120.27,115.97,117.15,2018-12-19,6979823,IBM
192,113.02,116.45,111.7,115.7,2018-12-20,8454350,IBM
193,110.94,115.28,110.44,112.5,2018-12-21,10386453,IBM
194,107.57,111,107.5,109.9,2018-12-24,3821376,IBM
195,111.39,111.39,105.94,108,2018-12-26,6645794,IBM
196,113.78,113.78,109.4699,109.99,2018-12-27,6045590,IBM
197,113.03,114.8,112.5,114.22,2018-12-28,5117533,IBM
198,113.67,114.35,112.4201,113.33,2018-12-31,4982755,IBM
199,115.21,115.98,111.69,112.01,2019-01-02,4239924,IBM
200,112.91,114.88,112.69,114.53,2019-01-03,4346659,IBM
201,117.32,117.49,114.44,114.91,2019-01-04,4477755,IBM
202,118.15,118.83,116.67,117.5,2019-01-07,3751204,IBM
203,119.83,120.57,118.98,119.66,2019-01-08,4763636,IBM
204,120.69,121.4,119.87,120.91,2019-01-09,3633663,IBM
205,121.79,121.86,119.95,120.08,2019-01-10,3909971,IBM
206,121.46,121.615,120.2,121.58,2019-01-11,3722370,IBM
207,120.39,120.6548,119.7607,120.51,2019-01-14,5228909,IBM
208,121.73,121.93,120.82,120.96,2019-01-15,3507719,IBM
209,121.62,122,120.83,121.58,2019-01-16,3841100,IBM
210,122.19,122.4085,120.55,120.56,2019-01-17,5029871,IBM
211,123.82,124.7175,122.71,123.27,2019-01-18,6008509,IBM
212,122.52,123.8,121.54,123.3,2019-01-22,10052384,IBM
213,132.89,135,130.31,131.37,2019-01-23,22063666,IBM
214,132.53,133.2054,131.43,132.63,2019-01-24,6322928,IBM
215,133.97,134.44,132.43,132.87,2019-01-25,5708500,IBM
216,134.27,134.805,132.58,133.1,2019-01-28,5357736,IBM
217,134.33,135.4149,133.6,134.29,2019-01-29,5037129,IBM
218,134.38,135.03,133.25,134,2019-01-30,4500919,IBM
219,134.42,134.716,133.74,134.45,2019-01-31,4884031,IBM
220,134.1,135.2,133.35,134.97,2019-02-01,3806047,IBM
