,close,high,low,open,tradeTime,tradeTimeinMills,volume
4384,131.5904,131.6200,131.5600,131.5700,2019-08-15 13:04:00,1565888640000,3700
4385,131.5200,131.6100,131.5200,131.5900,2019-08-15 13:05:00,1565888700000,4026
4386,131.5300,131.5700,131.5100,131.5700,2019-08-15 13:06:00,1565888760000,4900
4387,131.5400,131.5500,131.4900,131.5100,2019-08-15 13:07:00,1565888820000,2000
4388,131.5600,131.5700,131.5100,131.5500,2019-08-15 13:08:00,1565888880000,1200
4389,131.5600,131.6400,131.5600,131.5800,2019-08-15 13:09:00,1565888940000,2949
4390,131.5300,131.6000,131.4900,131.5800,2019-08-15 13:10:00,1565889000000,2745
4391,131.5200,131.5500,131.4900,131.4986,2019-08-15 13:11:00,1565889060000,1459
4392,131.6300,131.6300,131.4900,131.4900,2019-08-15 13:12:00,1565889120000,3300
4393,131.5200,131.6000,131.5200,131.6000,2019-08-15 13:13:00,1565889180000,4100
4394,131.5000,131.5550,131.5000,131.5100,2019-08-15 13:14:00,1565889240000,2414
4395,131.6300,131.6400,131.5400,131.5500,2019-08-15 13:15:00,1565889300000,3275
4396,131.6700,131.7000,131.6100,131.6400,2019-08-15 13:16:00,1565889360000,6155
4397,131.7200,131.7200,131.6500,131.6600,2019-08-15 13:17:00,1565889420000,1476
4398,131.7100,131.7500,131.6800,131.6800,2019-08-15 13:18:00,1565889480000,4046
4399,131.7300,131.7800,131.7200,131.7200,2019-08-15 13:19:00,1565889540000,2196
4400,131.7900,131.8400,131.7900,131.7900,2019-08-15 13:20:00,1565889600000,2919
4401,131.8400,131.8450,131.7700,131.7900,2019-08-15 13:21:00,1565889660000,3300
4402,131.7200,131.8300,131.7000,131.8300,2019-08-15 13:22:00,1565889720000,3091
4403,131.7000,131.7500,131.6690,131.7300,2019-08-15 13:23:00,1565889780000,3613
4404,131.7200,131.7300,131.6800,131.7200,2019-08-15 13:24:00,1565889840000,2700
4405,131.6900,131.7300,131.6600,131.7200,2019-08-15 13:25:00,1565889900000,5353
4406,131.6400,131.6800,131.6100,131.6700,2019-08-15 13:26:00,1565889960000,4833
4407,131.5900,131.6200,131.5700,131.6100,2019-08-15 13:27:00,1565890020000,3277
4408,131.4600,131.5900,131.4600,131.5700,2019-08-15 13:28:00,1565890080000,3200
4409,131.5600,131.5600,131.4600,131.5000,2019-08-15 13:29:00,1565890140000,1752
4410,131.6200,131.6200,131.5400,131.5400,2019-08-15 13:30:00,1565890200000,2702
4411,131.6405,131.6600,131.5800,131.6200,2019-08-15 13:31:00,1565890260000,3893
4412,131.6500,131.6615,131.6200,131.6400,2019-08-15 13:32:00,1565890320000,5792
4413,131.6429,131.6700,131.5900,131.6300,2019-08-15 13:33:00,1565890380000,1900
4414,131.6850,131.7100,131.6601,131.6900,2019-08-15 13:34:00,1565890440000,2140
4415,131.5594,131.6700,131.5550,131.6700,2019-08-15 13:35:00,1565890500000,4750
4416,131.4000,131.5577,131.3700,131.5577,2019-08-15 13:36:00,1565890560000,4250
4417,131.4200,131.4300,131.3695,131.3700,2019-08-15 13:37:00,1565890620000,3516
4418,131.5000,131.5000,131.4200,131.4200,2019-08-15 13:38:00,1565890680000,3896
4419,131.4150,131.4900,131.3900,131.4900,2019-08-15 13:39:00,1565890740000,4819
4420,131.3753,131.4850,131.3700,131.4500,2019-08-15 13:40:00,1565890800000,5751
4421,131.2500,131.3700,131.2300,131.3700,2019-08-15 13:41:00,1565890860000,3236
4422,131.3000,131.3400,131.2700,131.2700,2019-08-15 13:42:00,1565890920000,3100
4423,131.2200,131.2800,131.1700,131.2500,2019-08-15 13:43:00,1565890980000,2202
4424,131.2195,131.2200,131.1700,131.2200,2019-08-15 13:44:00,1565891040000,1750
4425,131.1800,131.1800,131.1100,131.1800,2019-08-15 13:45:00,1565891100000,4400
4426,131.2000,131.2300,131.1110,131.1800,2019-08-15 13:46:00,1565891160000,4549
4427,131.1400,131.2200,131.1400,131.1950,2019-08-15 13:47:00,1565891220000,1791
4428,130.9600,131.1360,130.9600,131.1360,2019-08-15 13:48:00,1565891280000,7536
4429,130.9200,131.0000,130.8800,131.0000,2019-08-15 13:49:00,1565891340000,3341
4430,130.8826,131.0200,130.8400,130.9900,2019-08-15 13:50:00,1565891400000,4773
4431,130.9400,130.9400,130.8400,130.8750,2019-08-15 13:51:00,1565891460000,2673
4432,130.7800,130.9160,130.7800,130.9000,2019-08-15 13:52:00,1565891520000,3834
4433,130.5200,130.8200,130.5200,130.7700,2019-08-15 13:53:00,1565891580000,8273
4434,130.6200,130.6900,130.5000,130.5000,2019-08-15 13:54:00,1565891640000,4397
4435,130.6500,130.6900,130.5800,130.6800,2019-08-15 13:55:00,1565891700000,8983
4436,130.7800,130.8100,130.7100,130.7100,2019-08-15 13:56:00,1565891760000,3067
4437,130.7000,130.7699,130.7000,130.7500,2019-08-15 13:57:00,1565891820000,2588
4438,130.6900,130.6900,130.6150,130.6200,2019-08-15 13:58:00,1565891880000,5765
4439,130.7056,130.7100,130.6000,130.6600,2019-08-15 13:59:00,1565891940000,3375
4440,130.6600,130.6600,130.5300,130.6400,2019-08-15 14:00:00,1565892000000,3118
4441,130.8100,130.8100,130.6550,130.6550,2019-08-15 14:01:00,1565892060000,3220
4442,130.8200,130.8400,130.7000,130.8300,2019-08-15 14:02:00,1565892120000,3836
4443,130.7725,130.8000,130.7100,130.8000,2019-08-15 14:03:00,1565892180000,2807
4444,130.6200,130.7445,130.5500,130.7445,2019-08-15 14:04:00,1565892240000,6180
4445,130.7600,130.8090,130.5336,130.5800,2019-08-15 14:05:00,1565892300000,1867
4446,130.8400,130.8600,130.7600,130.7800,2019-08-15 14:06:00,1565892360000,2009
4447,130.7900,130.8900,130.7800,130.8291,2019-08-15 14:07:00,1565892420000,4464
4448,130.9500,131.0000,130.8700,130.8800,2019-08-15 14:08:00,1565892480000,3242
4449,130.8700,130.9350,130.8300,130.9100,2019-08-15 14:09:00,1565892540000,1000
4450,131.2300,131.2300,130.8700,130.8700,2019-08-15 14:10:00,1565892600000,36396
4451,131.1000,131.2000,131.1000,131.1900,2019-08-15 14:11:00,1565892660000,4278
4452,131.1100,131.2200,131.0800,131.0800,2019-08-15 14:12:00,1565892720000,3216
4453,131.1300,131.1700,131.0800,131.1100,2019-08-15 14:13:00,1565892780000,5507
4454,131.1500,131.1800,131.0800,131.1500,2019-08-15 14:14:00,1565892840000,2766
4455,131.2020,131.2600,131.1200,131.2000,2019-08-15 14:15:00,1565892900000,3426
4456,131.1500,131.1700,131.0800,131.1200,2019-08-15 14:16:00,1565892960000,1681
4457,131.1300,131.2700,131.1232,131.1500,2019-08-15 14:17:00,1565893020000,5986
4458,131.0900,131.1600,131.0400,131.1200,2019-08-15 14:18:00,1565893080000,10500
4459,131.0300,131.1600,131.0300,131.1600,2019-08-15 14:19:00,1565893140000,7026
4460,131.1500,131.1500,131.0500,131.0500,2019-08-15 14:20:00,1565893200000,2002
4461,131.2200,131.3000,131.1600,131.1706,2019-08-15 14:21:00,1565893260000,5568
4462,131.3500,131.4000,131.2700,131.2700,2019-08-15 14:22:00,1565893320000,2637
4463,131.2500,131.3300,131.2500,131.3300,2019-08-15 14:23:00,1565893380000,10959
4464,131.3881,131.4300,131.3043,131.3300,2019-08-15 14:24:00,1565893440000,12762
4465,131.3950,131.4700,131.3123,131.3555,2019-08-15 14:25:00,1565893500000,2285
4466,131.4300,131.4500,131.3900,131.3950,2019-08-15 14:26:00,1565893560000,3667
4467,131.4200,131.4200,131.3500,131.3600,2019-08-15 14:27:00,1565893620000,2200
4468,131.3600,131.4300,131.3500,131.3500,2019-08-15 14:28:00,1565893680000,2820
4469,131.3238,131.4000,131.3238,131.3650,2019-08-15 14:29:00,1565893740000,2408
